sentence	pronoun_idx	pronoun	coref	candidates
The space marines killed the aliens because they were a threat.	44	they	the aliens	The space marines,the aliens
The space marines killed the aliens because they were ordered to.	44	they	The space marines	The space marines,the aliens
Rocky beat Drago because the crowd was supporting him.	50	him	Rocky	Rocky,Drago
Rocky beat Drago because the crowd was not supporting him.	54	him	Drago	Rocky,Drago
Lucas is younger than Claus because he was born last.	36	he	Lucas	Lucas,Claus
Lucas is younger than Claus because he was born first.	36	he	Claus	Lucas,Claus
Joy was jealous of Jenny because she was making more money than her.	33	she	Jenny	Joy,Jenny
Joy was jealous of Jenny because she was making less money than her.	33	she	Joy	Joy,Jenny
Bill punched Larry and he was hurt.	23	he	Larry	Bill,Larry
Bill punched Larry because he was angry.	27	he	Bill	Bill,Larry
The computer could not run the program because it had too many errors.	47	it	the program	The computer,the program
The computer could not run the program because it did not have enough memory.	47	it	The computer	The computer,the program
The man asked Mark the question again because he was curious.	46	he	The man	The man,Mark
The man asked Mark the question again because he was being evasive.	46	he	Mark	The man,Mark
Joe tried to get Tom to wake up, but he couldn't.	37	he	Joe	Joe,Tom
Joe tried to get Tom to wake up, but he wouldn't.	37	he	Tom	Joe,Tom
The other student corrected Robert because he better understood the problem.	43	he	The other student	The other student,Robert
The other student corrected Robert because he had misunderstood the problem.	43	he	Robert	The other student,Robert
The train conductor admonished the man standing in the doorway because he was enforcing the rules.	71	he	The train conductor	The train conductor,the man standing in the doorway
The train conductor admonished the man standing in the doorway because he was not following the rules.	71	he	the man standing in the doorway	The train conductor,the man standing in the doorway
Emma did not pass the ball to Janie, although she was open.	46	she	Janie	Emma,Janie
Emma did not pass the ball to Janie, although she should have.	46	she	Emma	Emma,Janie
Paul made fun of Henry since he knew everyone else did.	29	he	Paul	Paul,Henry
Paul made fun of Henry since he was such an easy target.	29	he	Henry	Paul,Henry
The boy gave his friend a cookie because he was hungry.	41	he	his friend	The boy,his friend
The boy gave his friend a cookie because he had an extra.	41	he	The boy	The boy,his friend
The government placed a tax on the product so it could profit from sales.	46	it	The government	The government,the product
The government placed a tax on the product so it got more expensive.	46	it	the product	The government,the product
The chef made breakfast for the captain because he was required to.	48	he	The chef	The chef,the captain
The chef made breakfast for the captain because he required food.	48	he	the captain	The chef,the captain
The band connected well to their fans, so they continued to buy albums.	42	they	their fans	The band,their fans
The band connected well to their fans, so they continued to write albums.	42	they	The band	The band,their fans
Bill was able to steal the banana from Ken because he was quick.	51	he	Bill	Bill,Ken
Bill was able to steal the banana from Ken because he was slow.	51	he	Ken	Bill,Ken
Allen chased the leprechaun because he had a pot of gold.	36	he	the leprechaun	Allen,the leprechaun
Allen chased the leprechaun because he wanted a pot of gold.	36	he	Allen	Allen,the leprechaun
The judge was fond of the contestant so he received the gold medal.	40	he	the contestant	The judge,the contestant
The judge was fond of the contestant so he voted favorably.	40	he	The judge	The judge,the contestant
Malachi's program would not run on the computer because it was full of bugs.	56	it	Malachi's program	Malachi's program,the computer
Malachi's program would not run on the computer because it had a faulty hard drive.	56	it	the computer	Malachi's program,the computer
Management gave the workers a raise because they had no other choice.	44	they	Management	Management,the workers
Management gave the workers a raise because they had threatened to strike.	44	they	the workers	Management,the workers
The Roman legion attacked the Persians because they felt threatened.	47	they	The Roman legion	The Roman legion,the Persians
The Roman legion attacked the Persians because they had invaded.	47	they	the Persians	The Roman legion,the Persians
The brown fox jumped over the dog because it was quick.	42	it	The brown fox	The brown fox,the dog
The brown fox jumped over the dog because it was lazy.	42	it	the dog	The brown fox,the dog
Alice helped Gwen move because she was nice.	31	she	Alice	Alice,Gwen
Alice helped Gwen move because she could not handle the job alone.	31	she	Gwen	Alice,Gwen
Mark tackled the quarterback, but he managed to complete the pass.	34	he	the quarterback	Mark,the quarterback
Mark tackled the quarterback, but he was penalized.	34	he	Mark	Mark,the quarterback
Kyle beat Mark in the race because he was the fastest kid in school.	35	he	Kyle	Kyle,Mark
Kyle beat Mark in the race because he had started out too fast.	35	he	Mark	Kyle,Mark
The striker scored on the goalie because he outran the defenders.	41	he	The striker	The striker,the goalie
The striker scored on the goalie because he was caught off guard.	41	he	the goalie	The striker,the goalie
Michael asked Jacob to dance because he was lonely.	37	he	Jacob	Michael,Jacob
Michael asked Jacob to dance because he felt sorry for him.	37	he	Michael	Michael,Jacob
The government wants to prohibit the people from playing chess on Monday because they have to work.	81	they	the people	The government,the people
The government wants to prohibit the people from playing chess on Monday because they want Mondays to be more productive.	81	they	The government	The government,the people
John tried to bake with Michael, but he did not have any eggs.	37	he	John	John,Michael
John tried to bake with Michael, but he said "I don't like kitchens!"	37	he	Michael	John,Michael
The government tried to free the journalists from North Korea, but they were unsuccessful.	67	they	The government	The government,the journalists
The government tried to free the journalists from North Korea, but they were held captive.	67	they	the journalists	The government,the journalists
Emily asked Anna to stir the pot, but she did not do it.	38	she	Anna	Emily,Anna
Emily asked Anna to stir the pot, because she forgot to do it.	42	she	Emily	Emily,Anna
Tim bought Eric a gecko, but he did not like it.	29	he	Eric	Tim,Eric
Tim bought Eric a gecko, because he liked him.	33	he	Tim	Tim,Eric
Anna tucked Olivia into bed because she was caring.	36	she	Anna	Anna,Olivia
Anna tucked Olivia into bed because she fell asleep on the couch.	36	she	Olivia	Anna,Olivia
Dan modified Harry's car because he had the tools.	33	he	Dan	Dan,Harry
Dan modified Harry's car because he asked politely.	33	he	Harry	Dan,Harry
Sarah went to Kelly's house because she was leaving from work.	36	she	Sarah	Sarah,Kelly
Sarah went to Kelly's house because she was home.	36	she	Kelly	Sarah,Kelly
Ken scanned photos for Neil since he owned a scanner.	34	he	Ken	Ken,Neil
Ken scanned photos for Neil since he needed to save his documents.	34	he	Neil	Ken,Neil
James cheated off Henry's test, and the Teacher told him.	53	him	Henry	James,Henry
James cheated off Henry's test, and the Teacher failed him.	55	him	James	James,Henry
Jim went to Hal's house, and walked his dog.	36	his	Hal	Jim,Hal
Jim went to Hal's house, and brought his dog.	37	his	Jim	Jim,Hal
Jackie gave Beth a present because it was her birthday.	42	her	Beth	Jackie,Beth
Jackie gave Beth a present because it was her friend's birthday.	42	her	Jackie	Jackie,Beth
Burt installed Joey's software, and he was appreciative.	36	he	Joey	Burt,Joey
Burt installed Joey's software, and he installed his hardware too.	36	he	Burt	Burt,Joey
Adam defeated Brandon in a fight because he was stronger.	41	he	Adam	Adam,Brandon
Adam defeated Brandon in a fight because he was weaker.	41	he	Brandon	Adam,Brandon
Lemuel painted Jim a piece of art since he requested it.	40	he	Jim	Lemuel,Jim
Lemuel painted Jim a piece of art since he knew how.	40	he	Lemuel	Lemuel,Jim
The dog hunted the fox because it was red.	31	it	the fox	The dog,the fox
The dog hunted the fox because it was hungry.	31	it	The dog	The dog,the fox
The Secretary and the President met about him being elected.	42	him	the President	The Secretary,the President
The Secretary and the President met about him being appointed.	42	him	The Secretary	The Secretary,the President
A monkey ate a lizard and it licked its lips.	26	it	A monkey	A monkey,a lizard
A monkey ate a lizard and it screamed in pain.	26	it	a lizard	A monkey,a lizard
Jim pooped on Jack and he vomited.	23	he	Jack	Jack,Jim
Jim pooped on Jack and he laughed.	23	he	Jim	Jack,Jim
The sheep chased the pig because it was fat.	33	it	the pig	The sheep,the pig
The sheep chased the pig because it was insulted.	33	it	The sheep	The sheep,the pig
The rock melted in the lava because it was pushed.	36	it	The rock	The rock,the lava
The rock melted in the lava because it was hot.	36	it	the lava	The rock,the lava
Jill loves Jamie and she does not feel the same way.	21	she	Jamie	Jill,Jamie
Jill loves Jamie and she bought her a ring.	21	she	Jill	Jill,Jamie
A dog chewed a bone and it barked.	24	it	A dog	A dog,a bone
A dog chewed a bone and it became wet.	24	it	a bone	A dog,a bone
The lion bit the gazelle because it had horns.	33	it	the gazelle	The lion,the gazelle
The lion bit the gazelle because it had sharp teeth.	33	it	The lion	The lion,the gazelle
John hit Carl and he did not like it.	18	he	Carl	John,Carl
John hit Carl and he hit back.	18	he	John	John,Carl
Katy cried for Susan since she was sad.	27	she	Katy	Katy,Susan
Katy cried for Susan since she died.	27	she	Susan	Katy,Susan
Taco needs hot sauce because it does not taste as good alone.	29	it	Taco	Taco,hot sauce
Taco needs hot sauce because it improves the flavor.	29	it	hot sauce	Taco,hot sauce
Tobias is upset with William because he would not pay.	37	he	Tobias	Tobias,William
Tobias is upset with William because he was mean.	37	he	William	Tobias,William
Jean is making fun of Kyle because he won.	35	he	Jean	Jean,Kyle
Jean is making fun of Kyle because he lost.	35	he	Kyle	Jean,Kyle
Cheesecake is better than fruitcake because it tastes better.	44	it	Cheesecake	Cheesecake,fruitcake
Cheesecake is better than fruitcake because it is gross.	44	it	fruitcake	Cheesecake,fruitcake
The townspeople ate the unicorns because they were hungry.	41	they	The townspeople	The townspeople,the unicorns
The townspeople ate the unicorns because they were delicious.	41	they	the unicorns	The townspeople,the unicorns
The separatists launched a surprise attack against the empire so they could turn the tide of battle.	65	they	The separatists	The separatists,the empire
The separatists launched a surprise attack against the empire so they could be caught off guard.	65	they	the empire	The separatists,the empire
Computers outsell laptops because they are more powerful.	34	they	Computers	Computers,laptops
Computers outsell laptops because they are not worth the money.	34	they	laptops	Computers,laptops
Pat tried to talk to Jill but she was ignored.	30	she	Pat	Pat,Jill
Pat tried to talk to Jill but she did not seem to hear it.	30	she	Jill	Pat,Jill
Gold is more popular than black because it is shiny.	40	it	Gold	Gold,black
Gold is more popular than black because it does not sparkle.	40	it	black	Gold,black
Jill outran Kate because she was faster.	25	she	Jill	Jill,Kate
Jill outran Kate because she was slower.	25	she	Kate	Jill,Kate
Tim gave Marlo a pat on the back because he looked sad.	41	he	Marlo	Tim,Marlo
Tim gave Marlo a pat on the back because he wanted to help.	41	he	Tim	Tim,Marlo
Mike tried to follow Tom but he could not keep up.	29	he	Mike	Mike,Tom
Mike tried to follow Tom but he was hard to see.	29	he	Tom	Mike,Tom
Coins are better than dollars because they weigh more.	38	they	Coins	Coins,dollars
Coins are better than dollars because they wrinkle too easily.	38	they	dollars	Coins,dollars
George talked to Bill because he was nervous.	30	he	George	George,Bill
George talked to Bill because he had experience.	30	he	Bill	George,Bill
Tom asked his son to drive so that he could sleep.	35	he	Tom	Tom,his son
Tom asked his son to drive so that he could get experience.	35	he	his son	Tom,his son
Rosie beat Mary in Scrabble because she had a good vocabulary.	36	she	Rosie	Rosie,Mary
Rosie beat Mary in Scrabble because she was bad at word games.	36	she	Mary	Rosie,Mary
Bush beat Gore because he rigged the election.	23	he	Bush	Bush,Gore
Bush beat Gore because he was unpopular.	23	he	Gore	Bush,Gore
The knife cut through the fence because it was sharp.	40	it	The knife	The knife,the fence
The knife cut through the fence because it was rusty.	40	it	the fence	The knife,the fence
Bob killed Vincent because he was stealing drugs.	27	he	Vincent	Bob,Vincent
Bob killed Vincent because he wanted to kill someone.	27	he	Bob	Bob,Vincent
Iphones are selling more than androids because they are trendy.	47	they	Iphones	Iphones,androids
Iphones are selling more than androids because they are hard to use.	47	they	androids	Iphones,androids
Apple defeated Microsoft in the war because they were creative.	44	they	Apple	Apple,Microsoft
Apple defeated Microsoft in the war because they lack creativity.	44	they	Microsoft	Apple,Microsoft
The University declared holiday to students because they were worried about them.	52	they	The University	The University,students
The University declared holiday to students because they requested them.	52	they	students	The University,students
Hill joined Obama because Bill suggested him.	41	him	Hill	Hill,Obama
Hill joined Obama because Bill trusted him.	39	him	Obama	Hill,Obama
Hitler conquered Alex in the war because everybody supported him.	61	him	Hitler	Hitler,Alex
Hitler conquered Alex in the war because nobody supported him.	58	him	Alex	Hitler,Alex
Rocky won the match with Richard because he worked hard.	41	he	Rocky	Rocky,Richard
Rocky won the match with Richard because he had no energy.	41	he	Richard	Rocky,Richard
Clinton wanted Obama to run for president because he would win.	50	he	Obama	Clinton,Obama
Clinton wanted Obama to run for president because he could not win.	50	he	Clinton	Clinton,Obama
Steve loved Bush but he did not tell.	21	he	Steve	Steve,Bush
Steve loved Bush but he did not accept.	21	he	Bush	Steve,Bush
Gates is richer than Jobs, so he does a lot more charity work.	30	he	Gates	Gates,Jobs
Gates is richer than Jobs, so he is not richest person.	30	he	Jobs	Gates,Jobs
Seth is smarter than Sai, and consequently he got a better job.	43	he	Seth	Seth,Sai
Seth is a smarter than Sai, and consequently he did worse in the job interview.	45	he	Sai	Seth,Sai
Jacob misled Amen so David helped him.	34	him	Amen	Jacob,Amen
Jacob misled Amen so David fired him.	33	him	Jacob	Jacob,Amen
Right after work Angelina took Sandy to the park because she knew the place.	57	she	Angelina	Angelina,Sandy
Right after work Angelina took Sandy to the park because she wanted to go to that place.	57	she	Sandy	Angelina,Sandy
Claudia lost all her money to Valarie because she is really smart.	46	she	Valarie	Claudia,Valarie
Claudia lost all her money to Valarie because she is stupid.	46	she	Claudia	Claudia,Valarie
Mike helped Jack with his assignment because he felt like doing so.	45	he	Mike	Mike,Jack
Mike helped Jack with his assignment because he politely asked him to.	45	he	Jack	Mike,Jack
Dad yelled at Sam because he did not go to school.	26	he	Sam	Dad,Sam
Dad yelled at Sam because he was mad.	26	he	Dad	Dad,Sam
Janice bought Kenda a car because she needed one.	34	she	Kenda	Janice,Kenda
Janice bought Kenda a car because she has money to spend.	34	she	Janice	Janice,Kenda
The mouse ran from the cat all the way to the kitchen because it was scared.	62	it	The mouse	The mouse,the cat
The mouse ran from the cat all the way to the kitchen because it chased him.	62	it	the cat	The mouse,the cat
John picked Bill because he was in need of talent.	25	he	John	John,Bill
John picked Bill because he was talented.	25	he	Bill	John,Bill
John bored Bill because he was boring.	24	he	John	John,Bill
John bored Bill because he was easily bored.	24	he	Bill	John,Bill
John appreciated Bill because he had been in need.	30	he	John	John,Bill
John ridiculed Bill because he was a big help.	28	he	Bill	John,Bill
John tricked Bill because he was mischievous.	26	he	John	John,Bill
John tricked Bill because he was slow-witted.	26	he	Bill	John,Bill
John nicked Bill because he needed money.	25	he	John	John,Bill
John nicked Bill because he was gullible.	25	he	Bill	John,Bill
John gave a large sum of money to Bill because he had extra.	47	he	John	John,Bill
John gave a large sum of money to Bill because he needed a loan.	47	he	Bill	John,Bill
John kicked Bill because he was angry.	25	he	John	John,Bill
John kicked Bill because he was being mean.	25	he	Bill	John,Bill
John remembered Bill because he had had been thinking about wicker chairs.	29	he	John	John,Bill
John remembered Bill because he was memorable.	29	he	Bill	John,Bill
The couple took the car to the shop on Tuesday, but they will not charge until next week.	52	they	the shop	The couple,the shop
The couple took the car to the shop on Tuesday, but they will not have to pay until next week.	52	they	The couple	The couple,the shop
Chuck Norris can beat any man in a fight, unless he is invincible.	49	he	any man	Chuck Norris,any man
Chuck Norris can beat any man in a fight, unless he is tied up and blindfolded.	49	he	Chuck Norris	Chuck Norris,any man
I think the referee treats Vick like a running back because he has distinct style of play.	60	he	Vick	the referee,Vick
I think the referee treats Vick like a running back because he does not understand the game.	60	he	the referee	the referee,Vick
The mouse sought out the wise owl's advice, and she promptly realized her mistake.	48	she	The mouse	The mouse,the wise owl
The mouse sought out the wise owl's advice, and she promptly accepted the free meal.	48	she	the wise owl	The mouse,the wise owl
The kidnapper will not return Trent Reznor until he is given a private performance.	49	he	The kidnapper	The kidnapper,Trent Reznor
The kidnapper will not return Trent Reznor until he agrees to a private performance.	49	he	Trent Reznor	The kidnapper,Trent Reznor
The authorities detained the hikers because they were trespassing.	44	they	the hikers	The authorities,the hikers
The authorities detained the hikers because they were prejudiced.	44	they	The authorities	The authorities,the hikers
Sarah tried to ignore the elephant in the room, but she could not bear the awkwardness.	52	she	Sarah	Sarah,the elephant in the room
Sarah tried to ignore the elephant in the room, but she would not stop trumpeting.	52	she	the elephant in the room	Sarah,the elephant in the room
Mark almost made a deal with Slimy Jack, but backed down when the man was caught embezzling.	62	the man	Slimy Jack	Mark,Slimy Jack
Mark almost made a deal with Slimy Jack, but backed down when the man thought of his reputation for honesty.	62	the man	Mark	Mark,Slimy Jack
The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when they sabotaged the microchip processing facility.	99	they	the squirrel-men	The robots,the squirrel-men
The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when they sabotaged the acorn processing facility.	99	they	The robots	The robots,the squirrel-men
Jesus appeared to Thomas in order to show that he had risen.	47	he	Jesus	Jesus,Thomas
Jesus appeared to Thomas in order to show that he had unfounded doubts.	47	he	Thomas	Jesus,Thomas
The employees crushed the boxes because they were working.	40	they	The employees	The employees,the boxes
The employees crushed the boxes because they were empty.	40	they	the boxes	The employees,the boxes
The wine busted the cask because it was too small.	33	it	the cask	The wine,the cask
The wine busted the cask because it was too carbonated.	33	it	The wine	The wine,the cask
Tom gave James a coat because he was cold.	30	he	James	Tom,James
Tom gave James a coat because he was generous.	30	he	Tom	Tom,James
The veterans defeated the newcomers because they were more experienced.	44	they	The veterans	The veterans,the newcomers
The veterans defeated the newcomers because they were less experienced.	44	they	the newcomers	The veterans,the newcomers
The sailors fell off the boats because they were capsizing.	39	they	the boats	The sailors,the boats
The sailors fell off the boats because they were drunk.	39	they	The sailors	The sailors,the boats
The children played games because they were bored.	34	they	The children	The children,games
The children played games because they were entertaining.	34	they	games	The children,games
John fired Dave because he had too many absences.	24	he	Dave	John,Dave
John fired Dave because he had too many employees.	24	he	John	John,Dave
The police arrested the rioters because they were preventing trouble.	40	they	The police	The police,the rioters
The police arrested the rioters because they were causing trouble.	40	they	the rioters	The police,the rioters
The students read the books because they were learning.	36	they	The students	The students,the books
The students read the books because they were interesting.	36	they	the books	The students,the books
The lumberjacks cut the trees so they could be paid.	33	they	The lumberjacks	The lumberjacks,the trees
The lumberjacks cut the trees so they could be sold.	33	they	the trees	The lumberjacks,the trees
The Centurion lent Doctor Who his ear since he had pledged his loyalty.	44	he	The Centurion	The Centurion,Doctor Who
The Centurion lent Doctor Who his ear since he had saved the Centurion's life.	44	he	Doctor Who	The Centurion,Doctor Who
Tom likes John because he has a cool name.	23	he	John	Tom,John
Tom likes John because he likes people with cool names.	23	he	Tom	Tom,John
The listener did not complain about the singer because he was autotuned.	55	he	the singer	The listener,the singer
The listener did not complain about the singer because he was tone deaf.	55	he	The listener	The listener,the singer
The musicians performed at two venues because neither of them paid much.	57	them	two venues	The musicians,two venues
The musicians performed at two venues because neither of them got paid much.	57	them	The musicians	The musicians,two venues
The product fair showed Office 365, and it had a lot of attendees.	40	it	The product fair	The product fair,Office 365
The product fair showed Office 365, and it showed off with a game.	40	it	Office 365	The product fair,Office 365
Stephen King called Spielberg so that he could ask for some money.	38	he	Stephen King	Stephen King,Spielberg
Stephen King called Spielberg so that he could call him back.	38	he	Spielberg	Stephen King,Spielberg
Lions love gazelles because they eat them.	28	they	Lions	Lions,gazelles
Lions love gazelles because they are delicious.	28	they	gazelles	Lions,gazelles
Steve Ballmer took over as CEO of Microsoft after Bill Gates because he retired.	69	he	Bill Gates	Steve Ballmer,Bill Gates
Steve Ballmer took over as CEO of Microsoft after Bill Gates because he was a unicorn.	69	he	Steve Ballmer	Steve Ballmer,Bill Gates
Windows is worse than Linux because it has a lot of viruses.	36	it	Windows	Windows,Linux
Windows is worse than Linux because it is open source.	36	it	Linux	Windows,Linux
The boy lent his friend a pencil because the teacher told him to share.	58	him	The boy	The boy,his friend
The boy lent his friend a pencil because the teacher told him to write.	58	him	his friend	The boy,his friend
God created Adam for good but he could not control his creation.	30	he	God	God,Adam
God created Adam for good but he could not control his temptation.	30	he	Adam	God,Adam
The boy laughed at his friend because he heard the joke.	38	he	The boy	The boy,his friend
The boy laughed at his friend because he made the joke.	38	he	his friend	The boy,his friend
The cops maced the protesters because they blindly follow orders.	38	they	The cops	The cops,the protesters
The cops maced the protesters because they do not blindly follow orders.	38	they	the protesters	The cops,the protesters
The boulder dropped into the river, but it continued to roll.	40	it	The boulder	The boulder,the river
The boulder dropped into the river, but it continued to flow.	40	it	the river	The boulder,the river
The gun owner fired at the burglar because he stole items.	43	he	the burglar	The gun owner,the burglar
The gun owner fired at the burglar because he saw a shadow.	43	he	The gun owner	The gun owner,the burglar
Jerrica saw the guard as she snuck past.	25	she	Jerrica	Jerrica,the guard
Jerrica saw the guard as she marched past.	25	she	the guard	Jerrica,the guard
The home team lost to the Giants because they were better players.	41	they	the Giants	The home team,the Giants
The home team lost to the Giants because they were unable to pass.	41	they	The home team	The home team,the Giants
My parents gave the neighbors tickets to Six Flags since they needed them.	57	they	the neighbors	My parents,the neighbors
My parents gave the neighbors tickets to Six Flags since they had extras.	57	they	My parents	My parents,the neighbors
The police called headquarters for help and they refused.	44	they	headquarters	The police,headquarters
The police called headquarters for help and they continued to fight the criminals.	44	they	The police	The police,headquarters
The advisor told the President that he should declare war.	36	he	the President	The advisor,the President
The advisor told the President that he was resigning.	36	he	The advisor	The advisor,the President
The elephant trampled a fish and it died.	33	it	a fish	The elephant,a fish
The elephant trampled a fish and it continued on its way.	33	it	The elephant	The elephant,a fish
The children egged the neighbors because they had no candy.	41	they	the neighbors	The children,the neighbors
The children egged the neighbors because they had no dignity.	41	they	The children	The children,the neighbors
The model frowned at her manager because she forgot to call.	41	she	her manager	The model,her manager
The model frowned at her manager because she was sad.	41	she	The model	The model,her manager
William enforced a mandatory choir practice for Ryan since he is struggling with his singing abilities.	59	he	Ryan	William,Ryan
William enforced a mandatory choir practice for Ryan since he is a mean teacher.	59	he	William	William,Ryan
The counselor gave the student advice because he is on the wrong track in life.	46	he	the student	The counselor,the student
The counselor gave the student advice because he feels obligated to help him.	46	he	The counselor	The counselor,the student
Ryan won the presidency against Tom because he feels he was the better candidate.	44	he	Ryan	Ryan,Tom
Ryan won the presidency against Tom because he was not fit for office.	44	he	Tom	Ryan,Tom
Jack raced past Dan since his car is much faster.	26	his	Jack	Jack,Dan
Jack raced past Dan since his car is old.	26	his	Dan	Jack,Dan
The mother encouraged her daughter to sing a difficult song so she would be challenged.	63	she	her daughter	The mother,her daughter
The mother encouraged her daughter to sing a difficult song so she could see her become better.	63	she	The mother	The mother,her daughter
John visited his son so he could spent time with him.	24	he	John	John,his son
John visited his son so he would feel loved.	24	he	his son	John,his son
The pilots saved the passengers because they had a civic duty.	40	they	The pilots	The pilots,the passengers
The pilots saved the passengers because they begged them to.	40	they	the passengers	The pilots,the passengers
Kurt sang to Jon since he wanted to be the lead singer.	23	he	Kurt	Kurt,Jon
Kurt sang to Jon since he was the judge.	23	he	Jon	Kurt,Jon
Stacy lied about partying to her mom, but she found out.	42	she	her mom	Stacy,her mom
Stacy lied about partying to her mom, but she feared that she may be caught.	42	she	Stacy	Stacy,her mom
Janet Jackson is more popular than Latoya Jackson since she is the better performer.	56	she	Janet Jackson	Janet Jackson,Latoya Jackson
Janet Jackson is more popular than Latoya Jackson since she does not have as many followers.	56	she	Latoya Jackson	Janet Jackson,Latoya Jackson
Stephen Colbert is funnier than John Stewart since his comedy is better.	51	his	Stephen Colbert	Stephen Colbert,John Stewart
Stephen Colbert is funnier than John Stewart since his show has less viewers.	51	his	John Stewart	Stephen Colbert,John Stewart
Rick Davis campaigned for John McCain since he could best support him in office.	44	he	Rick Davis	Rick Davis,John McCain
Rick Davis campaigned for John McCain since he was the best man for office.	44	he	John McCain	Rick Davis,John McCain
Simon Cowell makes fun of Ryan Seacrest since he feels superior.	46	he	Simon Cowell	Simon Cowell,Ryan Seacrest
Simon Cowell makes fun of Ryan Seacrest since he is viewed as feminine.	46	he	Ryan Seacrest	Simon Cowell,Ryan Seacrest
The poor steal from the rich because they need more money.	37	they	The poor	The poor,the rich
The poor steal from the rich because they possess more items of value.	37	they	the rich	The poor,the rich
The big brother always beats the little brother at board games since he was older and wiser.	69	he	The big brother	The big brother,the little brother
The big brother always beats the little brother at board games since he is not very good at games.	69	he	the little brother	The big brother,the little brother
The salesman sold a hot tub to the customer because he was looking for something to use and soak in.	52	he	the customer	The salesman,the customer
The salesman sold a hot tub to the customer because he was trying to sell his products.	52	he	The salesman	The salesman,the customer
Jennifer Aniston does not like Angelina Jolie because she stole her boyfriend.	54	she	Angelina Jolie	Jennifer Aniston,Angelina Jolie
Jennifer Aniston does not like Angelina Jolie because she is jealous of her relationship.	54	she	Jennifer Aniston	Jennifer Aniston,Angelina Jolie
The US army fought the Taliban because they are trying to prevent terrorism.	39	they	The US army	The US army,the Taliban
The US army fought the Taliban because they are the root of much terrorism.	39	they	the Taliban	The US army,the Taliban
Terranova has better ratings than House since they have attracted more new audiences.	46	they	Terranova	Terranova,House
Terranova has better ratings than House since they have a small target audience.	46	they	House	Terranova,House
Neil Patrick Harris is a better singer than Dave Chappelle,since he does not have time to become a good singer due to his comedy career.	65	he	Dave Chappelle	Neil Patrick Harris,Dave Chappelle
Neil Patrick Harris is a better singer than Dave Chappelle, since he had experience from Broadway.	66	he	Neil Patrick Harris	Neil Patrick Harris,Dave Chappelle
The Philadelphia Eagles lost to the St. Louis Rams, but it was because they had the home field advantage.	71	they	St. Louis Rams	Philadelphia Eagles,St. Louis Rams
The Philadelphia Eagles lost to the St. Louis Rams, but it was because they were tired from traveling to the game.	71	they	Philadelphia Eagles	Philadelphia Eagles,St. Louis Rams
The AirForce is more appealing than the Army, but they require higher qualifications.	50	they	The AirForce	The AirForce,the Army
The AirForce is more appealing than the Army, but they are just as important.	50	they	the Army	The AirForce,the Army
Dogs are friendlier than cats since they enjoy the company of people.	36	they	Dogs	Dogs,cats
Dogs are friendlier than cats since they would rather be alone.	36	they	cats	Dogs,cats
Hybrid cars produce less pollution than diesel trucks because they use less gas and more electricity.	62	they	Hybrid cars	Hybrid cars,diesel trucks
Hybrid cars produce less pollution than diesel trucks because they use pure gasoline.	62	they	diesel trucks	Hybrid cars,diesel trucks
Fry's Electronics is more successful than Comp USA since they price their products much lower.	57	they	Fry's Electronics	Fry's Electronics,Comp USA
Fry's Electronics is more successful than Comp USA since they cannot compete competitively in price.	57	they	Comp USA	Fry's Electronics,Comp USA
Ryan has much less hair than Gary, so he does not go out in public without a hat.	38	he	Ryan	Ryan,Gary
Ryan has much less hair than Gary, so he has to cut his hair constantly.	38	he	Gary	Ryan,Gary
Blue Thunder scored more goals than Green Hogs since they are the better team.	53	they	Blue Thunder	Blue Thunder,Green Hogs
Blue Thunder scored more goals than Green Hogs since they are not very good at the game.	53	they	Green Hogs	Blue Thunder,Green Hogs
Joe earned more money than Rob on the Price is Right because he was able to guess more letters correctly.	61	he	Joe	Joe,Rob
Joe earned more money than Rob on the Price is Right because he kept guessing wrong.	61	he	Rob	Joe,Rob
KFC sells better than Popeyes since they have better chicken.	36	they	KFC	KFC,Popeyes
KFC sells better than Popeyes since they use worse ingredients in their chicken.	36	they	Popeyes	KFC,Popeyes
Google is catching up to Firefox in the percentage of users because they have a faster and more reliable browser.	68	they	Google	Google,Firefox
Google is catching up to Firefox in the percentage of users, because they have been getting too bulky and slow.	69	they	Firefox	Google,Firefox
The new knives are better than the old knives since they are much sharper.	52	they	new knives	new knives,old knives
The new knives are better than the old knives since they are losing their sharp edge due to constant use.	52	they	old knives	new knives,old knives
The Union defeated the Confederates in the Civil war since they had better resources and numbers.	59	they	The Union	The Union,the Confederates
The Union defeated the Confederates in the Civil war since they did not have the resources to continue the fight.	59	they	the Confederates	The Union,the Confederates
Will Smith got his son in a movie since he has much influence in the movie scene.	40	he	Will Smith	Will Smith,his son
Will Smith got his son in a movie since he is the son of a famous movie actor.	40	he	his son	Will Smith,his son
Horses are faster at short distances than camels, but they cannot trek as far.	54	they	Horses	Horses,camels
Horses are faster at short distances than camels, but they can travel much further distances.	54	they	camels	Horses,camels
T-Mobile's data plan is better than AT&T's data plan since it does not cap data usage.	59	it	T-Mobile	T-Mobile,AT&T
T-Mobile's data plan is better than AT&T's data plan since it throttles user for excessive data usage.	59	it	AT&T	T-Mobile,AT&T
Nicole was angry at Sammie since she lied to her.	33	she	Nicole	Nicole,Sammie
Nicole was angry at Sammie since she caught her in a lie.	33	she	Sammie	Nicole,Sammie
