id	source	target	pronoun_idx	pronoun	selected_nouns	candidates_nouns	label
176	Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.	The piano was broken, so he had to sing instead.	40	it	The piano	a chair|Sam|the piano	1
177	Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.	When Fred first saw my father, Fred was twelve months old.	102	he	Fred	months|my father|Fred|an infant|the only man	0
178	Anna did a lot better than her good friend Lucy on the test because she had studied so hard.	Lucy had studied so hard.	68	she	Lucy	Lucy|her good friend|the test|lot|Anna	0
179	Jane knocked on the door, and Susan answered it. She invited her to come out.	Susan invited her to come out.	49	She	Susan	Jane|the door|Susan	0
180	The path to the lake was blocked, so we couldn't reach it.	We couldn't reach the lake.	55	it	the lake	The path|the lake	1
181	Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.	The jacket looks dowdy on her.	66	it	The jacket	her sweater|Grace|The jacket	0
182	Kirilov ceded the presidency to Shatov because he was more popular.	Kirilov was more popular.	47	he	Kirilov	the presidency|Shatov|Kirilov	0
183	I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.	The lemon trees came out looking more like telephone poles.	78	they	The lemon trees	lemons|a picture|telephone poles|the lemon trees|an orchard	1
184	Pete envies Martin because he is very successful.	Martin is very successful.	27	he	Martin	Pete|Martin|envies	1
185	Since it was raining, I carried the newspaper in my backpack to keep it dry.	I carried the newspaper in my backpack to keep the newspaper dry.	69	it	the newspaper	my backpack|the newspaper	1
186	Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.	Pam and Paul were furious about it.	75	They	Paul	Paul|her boyfriend|sex|Pam's parents	0
187	I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.	He had to be the life and soul of a dinner party, with the dinner party there all the time.	206	it	the dinner party	a book|soul|the body|the dining-room table|another cove|the life|time|a chappie|the dinner party	0
188	In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.	Now I have to get The tree removed.	94	it	The tree	the tree|the roof|my house|the storm	1
189	Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.	He changed his mind and turned the TV off.	163	it	the TV	Fred|his mind|the show|the dishwasher|the TV	1
190	In the middle of the outdoor concert, the rain started falling, and it continued until 10.	The rain continued until 10.	68	it	The rain	the middle|the rain|the outdoor concert	1
191	It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.	Even one thread uncut will leave one thread too small.	232	it	one thread	one thread|buttonholes|precisely the right size|the hole|distance|The tiniest slip|the scissors	0
192	Sam took French classes from Adam, because he was known to speak it fluently.	Adam was known to speak it fluently.	43	he	Adam	Adam|Sam|French classes	1
193	Sid explained his theory to Mark but he couldn't convince him.	Sid couldn't convince him.	37	he	Sid	Sid|his theory|Mark	1
194	Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.	We should make more of the oatmeal cookies.	129	them	the oatmeal cookies	only a few people|the chocolate chip cookies|time|Everyone|the oatmeal cookies	1
195	The sack of potatoes had been placed below the bag of flour, so it had to be moved first.	The bag of flour had to be moved first.	64	it	The bag of flour	potatoes|the bag|The bag of flour|The sack|flour	1
196	As Ollie carried Tommy up the long winding steps, his legs dangled.	Tommy's legs dangled.	50	his	Tommy	Ollie|his legs|Tommy|the long winding steps	1
197	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Goodman faced in his research.	100	he	Goodman	Xenophanes|his research|Goodman|the difficulties|Sam Goodman's biography|a vivid sense	1
198	Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.	Blaze took upon himself the feeding and care of the animal.	159	he	Blaze	the stable boys|the animal|care|the white horse|Blaze|the Burlington Stables|the feeding|Mark	0
199	Joe's uncle can still beat him at tennis, even though he is 30 years older.	Joe's uncle is 30 years older.	54	he	Joe's uncle	years|Joe's uncle|tennis	1
200	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	Mama had to hunt for a button.	159	she	Mama	the living room|No time|Mama|Today|old pictures|Alice|a chair|a button|the album|the button|her favorite photo album	0
201	I poured water from the bottle into the cup until it was full.	The cup was full.	50	it	The cup	water|the bottle|the cup	1
202	During a game of tag, Ethan chased Luke because he was "it".	Ethan was "it".	48	he	Ethan	Luke|tag|Ethan|a game	1
203	Jane gave Joan candy because she was hungry.	Joan was hungry.	29	she	Joan	Jane|candy|Joan	1
204	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	Edward no longer requires his financial support.	201	he	Edward	Mr. Moncrieff|Edward|his son|Edward's allowance|his financial support|Chester's luxurious New York apartment|The result|the ground	1
205	When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.	Father gave Tommy a sympathetic look.	64	him	Tommy	a sympathetic look|Tommy|Timmy|father|his ice cream	1
206	John was doing research in the library when he heard a man humming and whistling. He was very annoyed.	The man was very annoyed.	82	He	The man	John|the library|The man|research	0
207	It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.	Even one thread uncut will leave the slip too small.	232	it	the slip	thread|buttonholes|precisely the right size|the hole|distance|the scissors|the slip	0
208	Susan knows all about Ann's personal problems because she is nosy.	Ann is nosy.	54	she	Ann	Ann|Ann's personal problems|Susan	0
209	It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.	Even one thread uncut will leave the scissors too small.	232	it	the scissors	thread|buttonholes|precisely the right size|the hole|distance|The tiniest slip|the scissors	0
210	The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.	The cloud was out.	95	it	The cloud	the time|the picnic|The cloud|morning|The sun	0
211	The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.	The stars were very cooperative, so the interview lasted for a long time.	56	They	The stars	The journalists|the new movie|the stars|a long time|the interview	1
212	The city councilmen refused the demonstrators a permit because they feared violence.	The city councilmen feared violence.	63	they	The city councilmen	violence|a permit|the demonstrators|The city councilmen	1
213	Anne gave birth to a daughter last month. She is a very charming woman.	Anne's daughter is a very charming woman.	42	She	Anne's daughter	a very charming woman|month|Anne's daughter|Anne|a daughter|birth	0
214	Jackson was greatly influenced by Arnold, though he lived two centuries later.	Jackson lived two centuries later.	49	he	Jackson	centuries|Arnold|Jackson	1
215	This book introduced Shakespeare to Ovid; it was a fine selection of his writing.	It was a fine selection of Shakespeare's writing.	69	his	Shakespeare	Shakespeare|This book|Ovid|his writing|a fine selection	0
216	The father carried the sleeping boy in his bassinet.	The father carried the sleeping boy in the father's bassinet.	39	his	father	the sleeping boy|father|his bassinet	0
217	Dan took the rear seat while Bill claimed the front because his "Dibs!" was quicker.	Dan took the rear seat while Bill claimed the front because Dan's "Dibs!" was quicker.	60	his	Dan	the front|the rear seat|Dan|Bill|his "Dibs	0
218	Pete envies Martin although he is very successful.	Martin is very successful.	28	he	Martin	Pete|Martin|envies	0
219	Of one thing Mark was sure. Harry knew much less than he did.	Harry knew much less than Harry did.	54	he	Harry	one thing|Harry|Mark	0
220	Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval	Uncle Vernon couldn't very well marry without his approval	45	he	Uncle Vernon	Chester|Uncle Vernon|his approval	0
221	Thomson visited Cooper's grave in 1765. At that date he had been dead for five years.	Thomson had been dead for five years.	53	he	Thomson	five years|Cooper's grave|Thomson|that date	0
222	Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.	Mark should have been more skeptical.	73	He	Mark	Pete|many lies|his book|Mark	0
223	My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.	The meeting was delayed, so it worked out.	104	it	The meeting	the train|The meeting|much time	0
224	The foxes are getting in at night and attacking the chickens. They have gotten very nervous.	The foxes have gotten very nervous.	62	They	The foxes	The foxes|the chickens|night	0
225	I put the butterfly wing on the table and it broke.	The butterfly wing broke.	42	it	The butterfly wing	the butterfly wing|the table	1
226	Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.	Fred and Alice were not prepared for the cold in Alaska.	45	they	Fred and Alice	the cold|Alaska|very warm down coats|Fred|Alice|Fred and Alice	1
227	Tom gave Ralph a lift to school so he wouldn't have to walk.	Tom wouldn't have to walk.	35	he	Tom	Tom|Ralph|school|a lift	0
228	I put the cake away in the refrigerator. It has a lot of leftovers in it.	The refrigerator has a lot of leftovers in it.	41	It	The refrigerator	leftovers|the cake|a lot|the refrigerator	1
229	Sid explained his theory to Mark but he couldn't convince him.	Mark couldn't convince him.	37	he	Mark	Sid|his theory|Mark	0
230	I took the water bottle out of the backpack so that it would be handy.	I took the water bottle out of the backpack so that the water bottle would be handy.	52	it	the water bottle	the water bottle|the backpack	1
231	The fish ate the worm. It was tasty.	The worm was tasty.	23	It	The worm	the worm|The fish	1
232	As Andrea in the crop duster passed over Susan, she could see the landing strip.	Andrea could see the landing strip.	48	she	Andrea	the crop duster|the landing strip|Andrea|Susan	1
233	As Andrea in the crop duster passed over Susan, she could see the landing strip.	Susan could see the landing strip.	48	she	Susan	the crop duster|the landing strip|Andrea|Susan	0
234	Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.	Lionel plans to use it on Geoffrey and send Geoffrey to steal nuclear material from an army vault.	150	him	Geoffrey	Dr. Vardi|a device|captive a scientist|Geoffrey|Lionel|nuclear material|animals|an army vault	1
235	Kirilov ceded the presidency to Shatov because he was more popular.	Shatov was more popular.	47	he	Shatov	the presidency|Shatov|Kirilov	1
236	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	The government official was less than 21 when he filed for a homestead claim.	55	he	The government official	a homestead claim|years|Bernard|anyone|anything|the government official|his claim	0
237	Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.	Alice stroked her hair and let the child weep.	49	she	Alice	Mama|Alice|her hair|the child	0
238	Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.	Since Jade always has good luck, Alice spotted her quickly.	53	she	Jade	Jade|Alice|good luck|the crowd|her friend	0
239	I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.	He had to be the life and soul of a dinner party, with the body there all the time.	206	it	the body	a book|soul|the body|the dining-room table|another cove|the life|a dinner party|time|a chappie	1
240	The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.	The mouse was too impatient.	63	it	The mouse	the mouse|The cat|the mouse hole	0
241	Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.	We should make more of the chocolate chip cookies.	129	them	the chocolate chip cookies	only a few people|the chocolate chip cookies|time|Everyone|the oatmeal cookies	0
242	Jim signaled the barman and gestured toward his bathroom key.	Jim signaled the barman and gestured toward Jim's bathroom key.	44	his	Jim	his bathroom key|the barman|Jim	0
243	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	He heard Mr. Singer calling for the captain.	47	him	Mr. Singer	the cabin|Mr. Singer's heels|not one thing|all his crew|the ship|the work|night|the captain|only the ammunition|stay|everyone|Mr. Singer|the jargon|Mark	1
244	I couldn't put the pot on the shelf because it was too tall.	The shelf was too tall.	44	it	The shelf	the shelf|the pot	0
245	John was jogging through the park when he saw a man juggling watermelons. He was very impressive.	The juggler was very impressive.	74	He	The juggler	the park|The juggler|John|a man|watermelons	1
246	The lawyer asked the witness a question, but he was reluctant to answer it.	The witness was reluctant to answer it.	45	he	The witness	The lawyer|the witness|a question	1
247	Susan knew that Ann's son had been in a car accident, because she told her about it.	Susan told her about it.	62	she	Susan	a car accident|Ann's son|Susan	0
248	Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval	Chester couldn't very well marry without his approval	45	he	Chester	Chester|Uncle Vernon|his approval	1
249	When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.	The opponents were very much in the majority.	117	They	The opponents	the majority|the town hall|The opponents|the sponsors|the bill|the room	1
250	Billy cried because Toby wouldn't share his toy.	Billy cried because Toby wouldn't share Toby's toy.	40	his	Toby	his toy|Toby|Billy	1
251	At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.	The judges were so stupid.	102	they	The judges	the judges|which respondents|the Loebner competition|the chatbots	1
252	The large ball crashed right through the table because it was made of steel.	The table was made of steel.	55	it	The table	The large ball|steel|the table	0
253	Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.	His friend Henry let him stack the beans in his barn where they would dry.	129	them	the beans	the beans|His friend|Henry|his family|Grant|their Sunday dinners|that winter|his barn|Tatyana	1
254	Jane knocked on Susan's door, but there was no answer. She was out.	Jane was out.	55	She	Jane	Jane|Susan's door|no answer	0
255	Jane knocked on the door, and Susan answered it. She invited her to come in.	Jane invited her to come in.	49	She	Jane	Jane|the door|Susan	0
256	The table won't fit through the doorway because it is too wide.	The doorway is too wide.	48	it	The doorway	The table|the doorway	0
257	A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red-letter days for him.	Those occasions stood out as red-letter days for father.	208	him	father	interviews|A number|those occasions|Henry|perplexing mysteries|father|his aid|noted detectives|red-letter days|times	0
258	If the con artist has succeeded in fooling Sam, he would have lost a lot of money.	Sam would have lost a lot of money.	48	he	Sam	Sam|a lot|the con artist|money	1
259	Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.	His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry's father into a drug runner.	215	him	Larry's father	his father's disciple|a drug runner|a gang leader|Larry|death|Antonio|a Brooklyn housing project|his widowed mother|a timid teen-ager|Larry's father|his wing	0
260	Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.	Frank was the winner of the competition.	62	he	Frank	Frank|the winner|his longtime rival|Bill|the competition	0
261	Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.	He lowered his hands when the wind stopped.	91	them	his hands	Fred|his eyes|the wind|his hands|sand	1
262	The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.	Folks said he died just to be ride of the folks' everlasting nagging.	159	their	Folks said he died just to be ride of the folks'	his will|Mr. Crowley|their favor|their everlasting nagging|Folks said he died just to be ride of the folks'|Folks|The Wainwrights|a prince|dirt	0
263	The father carried the sleeping boy in his arms.	The father carried the sleeping boy in the boy's arms.	39	his	boy	the sleeping boy|The father|boy|his arms	0
264	There is a gap in the wall. You can see the garden through it.	You can see the garden through the wall.	59	it	the wall	the wall|the garden|a gap	0
265	Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.	Archaeologists hunted for deer on the river banks.	76	They	Archaeologists	years|the river banks|humans|Archaeologists|deer|Laputa	0
266	Susan knew that Ann's son had been in a car accident, so she told her about it.	Susan told her about it.	57	she	Susan	a car accident|Ann's son|Susan	1
267	Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty. He subtracted that amount from the man's wages, and made out his check	The man subtracted that amount from the man's wages.	112	He	The man	the man|the man's wages|that amount|the cook-shanty|Dad|the man's board-bill|the store|his check	0
268	The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.	The teller was immediately taken to the hospital.	66	He	The teller	the bank|the hospital|The teller|The customer	1
269	Kirilov ceded the presidency to Shatov because he was less popular.	Kirilov was less popular.	47	he	Kirilov	the presidency|Shatov|Kirilov	1
270	John hired Bill to take care of him.	John hired Bill to take care of Bill.	32	him	Bill	John|care|Bill	0
271	Bill passed the gameboy to John because his turn was next.	John's turn was next.	40	his	John	the gameboy|his turn|Bill|John	1
272	Joe paid the detective after he delivered the final report on the case.	Joe delivered the final report on the case.	29	he	Joe	the detective|the final report|Joe|the case	0
273	Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.	When Fred first saw my father, My father was twelve months old.	102	he	My father	months|my father|Fred|an infant|the only man	1
274	James asked Robert for a favor but he was refused.	James was refused.	35	he	James	Robert|James|a favor	1
275	Lily spoke to Donna, breaking her silence.	Lily spoke to Donna, breaking Lily's silence.	30	her	Lily	her silence|Donna|Lily	1
276	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.	Bob would have lost.	97	he	Bob	Adam|a sudden run|good luck|cards|Bob	0
277	Dan had to stop Bill from toying with the injured bird. He is very cruel.	Dan is very cruel.	56	He	Dan	Dan|Bill|the injured bird	0
278	Ann asked Mary what time the library closes, but she had forgotten.	Mary had forgotten.	49	she	Mary	Mary|the library|what time|Ann	1
279	The sculpture rolled off the shelf because it wasn't anchored.	The sculpture wasn't anchored.	43	it	The sculpture	the shelf|The sculpture	1
280	Carol believed that Rebecca suspected that she had stolen the watch.	Carol believed that Rebecca suspected that Carol had stolen the watch.	43	she	Carol	Carol|Rebecca|the watch	1
281	Paul tried to call George on the phone, but he wasn't successful.	George wasn't successful.	44	he	George	Paul|George|the phone	0
282	Mary tucked her daughter Anne into bed, so that she could work.	Mary tucked her daughter Anne into bed, so that Mary could work.	48	she	Mary	Anne|Mary|bed|her daughter	1
283	James asked Robert for a favor but he refused.	Robert refused.	35	he	Robert	Robert|James|a favor	1
284	I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.	The coffee got full of coffee.	113	it	The coffee	a spoon|a bad idea|The coffee|a pen	0
285	The path to the lake was blocked, so we couldn't use it.	We couldn't use the path.	53	it	the path	The path|the lake	1
286	Stretching her back, the woman smiled at the girl.	Stretching the girl's back, the woman smiled at the girl.	11	her	girl	the woman|girl	0
287	Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.	Archaeologists hunted for evidence on the river banks.	76	They	Archaeologists	years|the river banks|humans|Archaeologists|evidence|Laputa	1
288	I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.	The lemons came out looking more like light bulbs.	78	they	The lemons	The lemons|a picture|light bulbs|the lemon trees|an orchard	1
289	This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.	This afternoon the tide knocked The sand castle down.	130	it	The sand castle	The sand castle|the highest tower|the tide|morning|Joey|the beach|afternoon|a toy flag	1
290	The foxes are getting in at night and attacking the chickens. They have gotten very nervous.	The chickens have gotten very nervous.	62	They	The chickens	The foxes|the chickens|night	1
291	Tom threw his schoolbag down to Ray after he reached the top of the stairs.	Ray reached the top of the stairs.	42	he	Ray	Ray|the top|Tom|the stairs|his schoolbag	0
292	In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.	Kamchatka was defeated within weeks.	113	they	Kamchatka	Kamtchatka|July|Kamchatka|weeks|Yakutsk's army|war|Yakutsk|times	1
293	Madonna fired her trainer because she slept with her boyfriend.	The trainer slept with her boyfriend.	34	she	The trainer	her boyfriend|Madonna|The trainer	1
294	Dan had to stop Bill from toying with the injured bird. He is very compassionate.	Dan is very compassionate.	56	He	Dan	Dan|Bill|the injured bird	1
295	I used an old rag to clean the knife, and then I put it in the trash.	I put the rag in the trash.	53	it	the rag	the trash|the knife|the rag	1
296	Patting her back, the woman smiled at the girl.	Patting the woman's back, the woman smiled at the girl.	8	her	woman	the girl|woman	0
297	The large ball crashed right through the table because it was made of styrofoam.	The table was made of styrofoam.	55	it	The table	styrofoam|The large ball|the table	1
298	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.	I couldn't get the chewing gum out.	116	it	the chewing gum	the chewing gum|the lock|the key|the keyhole|chewing gum|someone	1
299	Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.	Adam would be gone by this time.	100	he	Adam	Adam|this time|time|work|Bob	1
300	Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.	Bob is very hurt.	92	He	Bob	Charlie|Bob|Charlie's college education	1
301	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	Anyone who knew that he was 19 years old could take his claim away from Bernard.	245	him	Bernard	a homestead claim|years|Bernard|anyone|anything|the government official|his claim	1
302	Mary took out her flute and played one of her favorite pieces. She has had it since she was a child.	She has had the flute since she was a child.	75	it	the flute	Mary|a child|the flute|her favorite pieces	1
303	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.	Sam and Amy are snobs.	86	they	Sam and Amy	love|Amy's parents|snobs|Amy|Sam|Sam and Amy	0
304	This book introduced Shakespeare to Goethe; it was a fine selection of his writing.	It was a fine selection of Shakespeare's writing.	71	his	Shakespeare	Shakespeare|This book|Goethe|his writing|a fine selection	1
305	The foxes are getting in at night and attacking the chickens. I shall have to guard them.	I shall have to guard The chickens.	84	them	The chickens	The foxes|the chickens|night	1
306	The donkey wished a wart on its hind leg would disappear, and it did.	The donkey wished a wart on its hind leg would disappear, and wart did.	62	it	wart	The donkey|wart|its hind leg	1
307	I put the cake away in the refrigerator. It has a lot of butter in it.	The refrigerator has a lot of butter in it.	41	It	The refrigerator	butter|the cake|a lot|the refrigerator	0
308	The sack of potatoes had been placed below the bag of flour, so it had to be moved first.	The sack of potatoes had to be moved first.	64	it	The sack of potatoes	potatoes|the bag|The sack|flour|The sack of potatoes	0
309	Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.	He couldn't afford the faces.	153	them	the faces	the children's faces|Papa|so many things|the faces	0
310	I put the heavy book on the table and it broke.	The heavy book broke.	38	it	The heavy book	the heavy book|the table	0
311	I used an old rag to clean the knife, and then I put it in the drawer.	I put the knife in the drawer.	53	it	the knife	the knife|an old rag|the drawer	1
312	James asked Robert for a favor but he refused.	James refused.	35	he	James	Robert|James|a favor	0
313	Men had the right to keep their sons working for them until they were 21 years of age.	Men had the right to keep their sons working for them until the sons were 21 years of age.	60	they	the sons	the right|21 years|age|the sons|Men	1
314	The older students were bullying the younger ones, so we rescued them.	We rescued the younger students.	65	them	the younger students	the younger students|the younger ones	1
315	This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.	This afternoon the wind knocked The flag down.	130	it	The flag	the highest tower|the wind|morning|a sand castle|Joey|the beach|The flag|afternoon|a toy flag	1
316	The sack of potatoes had been placed above the bag of flour, so it had to be moved first.	The sack of potatoes had to be moved first.	64	it	The sack of potatoes	potatoes|the bag|The sack|flour|The sack of potatoes	1
317	Anne gave birth to a daughter last month. She is a very charming baby.	Anne's daughter is a very charming baby.	42	She	Anne's daughter	month|Anne's daughter|Anne|a daughter|birth|a very charming baby	1
318	Tatyana managed two guitars and a bag, and still could point out the Freemans: "Isn't it nice that they have come, Mama!"	Isn't it nice that the Freemans have come, Mama!"	99	they	the Freemans	Mama|the Freemans|a bag|Tatyana|two guitars	1
319	The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.	The painting is to the right of the bookcase.	54	It	The painting	Mark's living room|the bookcase|an oak tree|the right|The painting	1
320	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	The captain and all Mark's crew had best stay in the cabin until the work was over.	234	his	Mark	the cabin|Mr. Singer's heels|not one thing|all his crew|the ship|the work|the captain|only the ammunition|stay|everyone|night|the jargon|Mark	0
321	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.	She was careful not to disturb her, undressing and climbing back into her mother's berth.	127	her	mother	her berth|the cabin|Tatyana|mother	0
322	Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.	Steve ran to look out the window.	86	He	Steve	Steve's feet|the window|The door|the ladder|Steve|the shop|Mark	0
323	The storekeepers stayed in town to run their stores and lived in the rooms behind them.	The storekeepers stayed in town to run their stores and lived in the rooms behind the storekeepers.	82	them	the storekeepers	town|The storekeepers|the rooms|their stores	0
324	Pete envies Martin because he is very successful.	Pete is very successful.	27	he	Pete	Pete|Martin|envies	0
325	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	Dad's boss at the railroad company would not want anyone but him to work in the office.	100	his	Dad	the office|Larry|Dad|his boss|anyone|the railroad company|his work	1
326	Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.	Later, he and Tatyana would shell them and cook them for his and Tatyana's Sunday dinners.	225	their	Tatyana	His friend|his beans|his family|Henry|Grant|their Sunday dinners|that winter|his barn|Tatyana	1
327	The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.	The stars were very persistent, so the interview lasted for a long time.	56	They	The stars	The journalists|the new movie|the stars|a long time|the interview	0
328	Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.	Anna had studied so hard.	67	she	Anna	Lucy|her good friend|the test|lot|Anna	0
329	Dr. Adams informed Kate that she had cancer and presented several options for future treatment.	Kate had cancer and presented several options for future treatment.	29	she	Kate	Dr. Adams|future treatment|Kate|several options|cancer	1
330	This book introduced Shakespeare to Ovid; it was a fine selection of his writing.	It was a fine selection of Ovid's writing.	69	his	Ovid	Shakespeare|This book|Ovid|his writing|a fine selection	1
331	During a game of tag, Ethan ran from Luke because he was "it".	Luke was "it".	50	he	Luke	Luke|tag|Ethan|a game	1
332	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	Mr. Moncrieff no longer requires his financial support.	201	he	Mr. Moncrieff	Mr. Moncrieff|Edward|his son|Edward's allowance|his financial support|Chester's luxurious New York apartment|The result|the ground	0
333	Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.	Alice was behaving so strangely.	98	she	Alice	the party|Alice|her daughter	1
334	The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.	Each artisan still had signs, not wishing to lose a possible patron merely because the patron happened to be illiterate.	227	he	the patron	the patron|more and more people|signs|pictures|The signs|work|the shops' doors|each artisan	1
335	The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.	The fish began two years ago.	108	They	The fish	years|three species|the Indian Ocean|The scientists|The fish	0
336	Dan took the rear seat while Bill claimed the front because his "Dibs!" was quicker.	Dan took the rear seat while Bill claimed the front because Bill's "Dibs!" was quicker.	60	his	Bill	the front|the rear seat|Dan|Bill|his "Dibs	1
